STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,SIZE_CLASS,Employment size class,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,UNIT_MULT,Unit multiplier,TIME_HORIZON_USE,Time horizon,DECIMALS,Decimals,BREAKDOWN_V7,V7 Breakdowns
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,G47,"Retail trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2022,,78.23,,U,Low reliability,,,,,0,Units,,,2,Two,RET,RET
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,L,Real estate activities,S_GE10,10 or more,2022,,87.93,,U,Low reliability,,,,,0,Units,,,2,Two,REA,REA
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,G14_B,Businesses using artificial intelligence (AI),PT_ENT,Percentage of enterprises,J,Information and communication,S_GE10,10 or more,2022,,19.23,,U,Low reliability,,,,,0,Units,,,2,Two,INF,INF
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,G46,"Wholesale trade, except of motor vehicles and motorcycles",S_GE10,10 or more,2022,,73.37,,U,Low reliability,,,,,0,Units,,,2,Two,WHO,WHO
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,I,Accommodation and food service activities,S_GE10,10 or more,2022,,53.83,,U,Low reliability,,,,,0,Units,,,2,Two,ACC,ACC
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,G7_B,Businesses having performed big data analysis,PT_ENT,Percentage of enterprises,J,Information and communication,S_GE10,10 or more,2022,,29.24,,D,Definition differs,U,Low reliability,,,0,Units,,,2,Two,INF,INF
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,G7_B,Businesses having performed big data analysis,PT_ENT,Percentage of enterprises,L,Real estate activities,S_GE10,10 or more,2022,,17.44,,D,Definition differs,U,Low reliability,,,0,Units,,,2,Two,REA,REA
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,G7_B,Businesses having performed big data analysis,PT_ENT,Percentage of enterprises,C,Manufacturing,S_GE10,10 or more,2022,,12.72,,D,Definition differs,U,Low reliability,,,0,Units,,,2,Two,MAN,MAN
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,JPN,Japan,A,Annual,G7_B,Businesses having performed big data analysis,PT_ENT,Percentage of enterprises,F,Construction,S_GE10,10 or more,2021,,2.0860000000000003,,D,Definition differs,,,,,0,Units,,,2,Two,CON,CON
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,JPN,Japan,A,Annual,G3_B,Businesses purchasing cloud computing services,PT_ENT,Percentage of enterprises,I,Accommodation and food service activities,S_GE10,10 or more,2021,,13.7326,,D,Definition differs,,,,,0,Units,,,2,Two,ACC,ACC
