STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,ASSET_CODE,Asset type,CONVERSION_TYPE,Conversion type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,DEU,Germany,A,Annual,GVAHRS,Gross value added per hour worked,J,Information and communication,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2020,,76.58313370052961,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,DEU,Germany,A,Annual,GVAHRS,Gross value added per hour worked,J,Information and communication,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2019,,76.50992361364997,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,EST,Estonia,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,PPP,PPP converted,2021,,8.490681969455661,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,EST,Estonia,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,PPP,PPP converted,2020,,3.4948690989472286,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,EST,Estonia,A,Annual,GVAHRS,Gross value added per hour worked,L,Real estate activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2020,,179.35931782945735,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,EST,Estonia,A,Annual,GVAHRS,Gross value added per hour worked,L,Real estate activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2019,,177.80285065590314,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,EST,Estonia,A,Annual,GVAHRS,Gross value added per hour worked,L,Real estate activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2020,,0.8753893246438382,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,CZE,Czechia,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,PPP,PPP converted,2020,,46.98267348037563,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,CZE,Czechia,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,PPP,PPP converted,2019,,45.3441516577005,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,CZE,Czechia,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2025,,587.7884859938492,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,CZE,Czechia,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2024,,584.4979698064926,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,CZE,Czechia,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2024,,-1.2430388290701644,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,CZE,Czechia,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,PPP,PPP converted,2024,,-1.2430388290701533,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,CZE,Czechia,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,PPP,PPP converted,2023,,-1.1977357142895828,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,CZE,Czechia,A,Annual,GVAHRS,Gross value added per hour worked,_T,Total - all activities,USD_PPP_H,"US dollars per hour, PPP converted",LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,PPP,PPP converted,2022,,-1.4455145348255871,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,CZE,Czechia,A,Annual,GVAHRS,Gross value added per hour worked,L,Real estate activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2022,,3276.2635322026317,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,CZE,Czechia,A,Annual,GVAHRS,Gross value added per hour worked,L,Real estate activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2021,,3447.260662312845,,A,Normal value,0,Units,2020,,2,Two
